feature,feature_type,transformed_columns,importance_mean,importance_std,importance_min,importance_max
number_inpatient,numeric,1,0.04730257047799033,0.0012631519002907288,0.046077528612246926,0.049152474004918484
diag_1_family,categorical,17,0.010546133170268795,0.002138071616875908,0.0075767526509908645,0.013094086654023979
prior_utilization_total,numeric,1,0.007798225155492061,0.0004520327752533487,0.007181080326865846,0.008409932139096604
time_in_hospital,numeric,1,0.006873971699118975,0.001262109722696595,0.005353993339762442,0.008553930472162435
diag_2_family,categorical,19,0.004492410133415292,0.001391926374419971,0.002341270512796173,0.005807664628185438
num_medications,numeric,1,0.004340826041709378,0.0013898926973468912,0.0027822260161674273,0.006261791664913585
admission_source_description,categorical,10,0.0033072690549885543,0.000744487526897995,0.002259985966764272,0.004256163201395435
payer_code,categorical,14,0.0024844669314044664,0.0016568800041198923,0.0006135623862085771,0.0047439967040942
diag_3_family,categorical,19,0.0020067510243069187,0.00032185934978269236,0.001641722640569665,0.002391563269391911
number_outpatient,numeric,1,0.0019449704289057567,0.0006006830407198738,0.0014615893789894918,0.002933461423120509
diabetesMed,categorical,2,0.0017050654374994533,0.0009845081599923165,0.00034104507080515156,0.002516128941667223
medical_specialty,categorical,25,0.0016330538351367607,0.0007931433354016589,0.0008907449012794111,0.002846923855633149
num_procedures,numeric,1,0.0015120564584310103,0.0009963845029333394,0.00019648317904466528,0.002546238615634716
age,categorical,10,0.001003129688837523,0.0013227405059748456,-0.0012520636413250463,0.0020401806477901296
insulin,categorical,4,0.0008648106588668381,0.00021380408622723756,0.0005438658066676538,0.001131294843550179
gender,categorical,3,0.0006937488250358892,0.0006014970757819625,3.865462693902755e-06,0.0016133293025057949
number_diagnoses,numeric,1,0.0005744166884864233,0.0009090238929389655,-0.00044838464368340825,0.001713252809654453
number_emergency,numeric,1,0.0004955038810458779,0.000390246471129731,6.241844809690145e-05,0.0009932382157526731
race,categorical,6,0.0004093220962046396,0.0006913688530559449,-4.965629339084843e-05,0.0016252981108293707
metformin,categorical,4,0.0003619434394484533,0.00047156955243619626,-0.00014828451142329113,0.0009894618775927733
glipizide,categorical,4,0.00019356927008591928,0.0001193727940120541,4.5004986308688766e-05,0.00035890633519272686
change,categorical,2,0.00017743376517686537,0.0003155396597870211,-0.0001857264160540495,0.0005585580821213243
acarbose,categorical,3,0.00016871690842061305,0.0001204514740855253,-6.191241568503925e-06,0.0003152977502600962
max_glu_serum,categorical,4,0.00015034975957505802,5.611172816246895e-05,7.296158097985783e-05,0.00021024970497948714
rosiglitazone,categorical,4,4.6476250444144054e-05,0.00010078506544502526,-5.163370974525794e-05,0.00016596493449277938
A1Cresult,categorical,4,2.4305962684334493e-05,0.00027899392181290645,-0.0004120557421753712,0.00035843003510724336
chlorpropamide,categorical,2,2.106716826418831e-05,2.9108886763854305e-05,2.2520993822883195e-06,7.15070978957455e-05
glyburide-metformin,categorical,3,1.1354634411719911e-05,1.2625708560162838e-05,1.6272532903094383e-06,3.3102820936686816e-05
log1p_number_inpatient,numeric,1,0.0,0.0,0.0,0.0
tolazamide,categorical,2,0.0,0.0,0.0,0.0
acetohexamide,categorical,1,0.0,0.0,0.0,0.0
tolbutamide,categorical,2,0.0,0.0,0.0,0.0
log1p_prior_utilization_total,numeric,1,0.0,0.0,0.0,0.0
glimepiride-pioglitazone,categorical,2,0.0,0.0,0.0,0.0
metformin-rosiglitazone,categorical,2,0.0,0.0,0.0,0.0
metformin-pioglitazone,categorical,1,0.0,0.0,0.0,0.0
log1p_number_outpatient,numeric,1,0.0,0.0,0.0,0.0
troglitazone,categorical,2,0.0,0.0,0.0,0.0
miglitol,categorical,2,0.0,0.0,0.0,0.0
glipizide-metformin,categorical,2,0.0,0.0,0.0,0.0
log1p_number_emergency,numeric,1,0.0,0.0,0.0,0.0
pioglitazone,categorical,4,-2.1879104544442197e-05,0.0002389584043525582,-0.00025245022469796985,0.0003106807298278169
nateglinide,categorical,3,-2.259613681617756e-05,4.494343069104769e-05,-9.295765544856116e-05,3.255241425551003e-05
admission_type_description,categorical,7,-7.09044920469748e-05,0.00019787027424019612,-0.00028915906949694703,0.00021034802703834288
glimepiride,categorical,4,-0.00022917603730435165,0.0004012899882127483,-0.000578699606348182,0.000395656107494341
repaglinide,categorical,3,-0.00024382331533518432,0.00011174370604479349,-0.0003624454182258041,-0.00012552115984501566
num_lab_procedures,numeric,1,-0.00033128107522700236,0.0008194377065987749,-0.001189191661925132,0.0009444418352846928
glyburide,categorical,4,-0.0007334959407225116,0.0003574460825467944,-0.001139335437850525,-0.000261115096007708
