calibration_bin,encounters,predicted_probability,observed_rate,probability_min,probability_max,absolute_calibration_error,weight
0,8655,0.042842202344955865,0.04540727902946274,0.00778379399790974,0.05307300553573586,0.0025650766845068743,0.10000346632465597
1,8655,0.059718613891363063,0.06400924321201618,0.05307392095214268,0.06593394179943818,0.004290629320653112,0.10000346632465597
2,8654,0.0715406959919048,0.07048763577536399,0.06593646949734648,0.07691956289017206,0.0010530602165408076,0.09999191190913607
3,8655,0.08220578644315407,0.08630849220103987,0.07692316447924899,0.0874386785144378,0.004102705757885794,0.10000346632465597
4,8655,0.09280171729748875,0.09786250722125939,0.08743908377154819,0.09839245188254978,0.005060789923770639,0.10000346632465597
5,8654,0.1043880355270449,0.109660272706263,0.09839259298019731,0.1105531546952409,0.005272237179218098,0.09999191190913607
6,8655,0.11753145699695562,0.11565569035239746,0.11055347707904972,0.12495302462408915,0.0018757666445581578,0.10000346632465597
7,8654,0.1339779418042122,0.13011324243124567,0.12495684894841617,0.14450849553465114,0.003864699372966518,0.09999191190913607
8,8655,0.16077198969773446,0.16302715193529752,0.14451006588077783,0.18171711088718465,0.0022551622375630576,0.10000346632465597
9,8655,0.24580601564801627,0.23558636626227614,0.18172382465701448,0.760640886970033,0.010219649385740132,0.10000346632465597
