contrast,metric,point_difference,bootstrap_mean,bootstrap_std,ci_2.5%,ci_97.5%,ci_includes_zero
Gender: Female - Male,roc_auc,0.0028410077825956614,0.0028728734783377216,0.006924693490152074,-0.009668121261833054,0.016592729851508458,True
Gender: Female - Male,sensitivity,0.020050656660090316,0.020163999095622095,0.01035438228919179,0.0008487319414784617,0.04025460690603114,False
Gender: Female - Male,false_positive_rate,0.01742265775214602,0.017539429748263797,0.004154964446611864,0.009504834639704769,0.025605655598954325,False
Gender: Female - Male,predicted_positive_rate,0.017818623670528888,0.017949135225467386,0.004212896781367855,0.009920702694868744,0.02610699987348534,False
Race: AfricanAmerican - Caucasian,roc_auc,0.0103220269022537,0.010415017676119206,0.008973284996910304,-0.007231772759343852,0.02836758884652229,True
Race: AfricanAmerican - Caucasian,sensitivity,0.002898392747064382,0.0030770501641616144,0.013099434886702038,-0.022388627732183117,0.028803112802963354,True
Race: AfricanAmerican - Caucasian,false_positive_rate,-0.02568655098284156,-0.025829714369645176,0.005363980829281372,-0.036269482677598865,-0.014853067497808625,False
Race: AfricanAmerican - Caucasian,predicted_positive_rate,-0.02279995043636518,-0.02286790727301843,0.005440915266700896,-0.033311553196793964,-0.012108932782155284,False
Adult age: 70+ - 20-49,roc_auc,-0.1135993343835563,-0.11299558765727209,0.011058286605940586,-0.13501987584237665,-0.09138508307580034,False
Adult age: 70+ - 20-49,sensitivity,0.021098137575780163,0.021936079881888348,0.016732910009242933,-0.010857482073335064,0.05576617940316311,True
Adult age: 70+ - 20-49,false_positive_rate,0.20664979041237214,0.20684866169195693,0.0067044318721325895,0.19324316864685667,0.2202172902293446,False
Adult age: 70+ - 20-49,predicted_positive_rate,0.18622367762218212,0.1864856442616794,0.007474765054472279,0.17157471155346934,0.20129141397542433,False
