attribute,metric,minimum_group,minimum_value,maximum_group,maximum_value,absolute_range,groups_compared
gender,roc_auc,Male,0.6423681896239973,Female,0.645209197406593,0.0028410077825956614,2
gender,sensitivity,Male,0.6903644086742678,Female,0.7104150653343582,0.020050656660090316,2
gender,specificity,Female,0.48399456785333206,Male,0.5014172256054781,0.01742265775214602,2
gender,false_positive_rate,Male,0.4985827743945219,Female,0.5160054321466679,0.01742265775214602,2
gender,predicted_positive_rate,Male,0.5199720740038897,Female,0.5377906976744186,0.017818623670528888,2
race,roc_auc,Caucasian,0.6405665674076,Asian,0.7035364145658263,0.06296984715822629,5
race,sensitivity,Other,0.5901639344262295,Hispanic,0.7195767195767195,0.12941278515049004,5
race,specificity,Caucasian,0.4796362749538376,Asian,0.6,0.12036372504616238,5
race,false_positive_rate,Asian,0.4,Caucasian,0.5203637250461625,0.12036372504616244,5
race,predicted_positive_rate,Other,0.4180834621329212,Caucasian,0.541348040351609,0.1232645782186878,5
age,roc_auc,[90-100),0.582025968007547,[20-30),0.8048163389727176,0.22279037096517063,9
age,sensitivity,[10-20),0.4594594594594595,[20-30),0.8472222222222222,0.3877627627627627,9
age,specificity,[80-90),0.3367617266635499,[10-20),0.8039927404718693,0.4672310138083194,9
age,false_positive_rate,[10-20),0.19600725952813067,[80-90),0.66323827333645,0.46723101380831933,9
age,predicted_positive_rate,[10-20),0.21258503401360543,[80-90),0.6758384668035592,0.4632534327899538,9
