source_concept,importance,cumulative_importance
number_inpatient,0.2702329284006304,0.2702329284006304
prior_utilization_total,0.1844204920082567,0.4546534204088871
number_emergency,0.04409985619412307,0.49875327660301016
age,0.040965517240905164,0.5397187938439153
time_in_hospital,0.03866034348549233,0.5783791373294076
diag_1_family,0.038649174829379365,0.617028312158787
num_medications,0.03623809660640556,0.6532664087651925
num_lab_procedures,0.03201091066065966,0.6852773194258521
number_diagnoses,0.031085663651932972,0.7163629830777851
medical_specialty,0.029918015349702606,0.7462809984274877
payer_code,0.02638170727793255,0.7726627057054203
diag_3_family,0.025904138681656853,0.7985668443870771
diag_2_family,0.025293045583820988,0.8238598899708981
insulin,0.023430997275889837,0.8472908872467879
number_outpatient,0.022957153071945288,0.8702480403187332
diabetesMed,0.015498741578544913,0.8857467818972781
admission_type_description,0.014706278308526572,0.9004530602058046
num_procedures,0.014399440689070168,0.9148525008948748
admission_source_description,0.014239924780598313,0.9290924256754731
metformin,0.010870304659871015,0.9399627303353442
race,0.009983423847028912,0.949946154182373
gender,0.009877178351669368,0.9598233325340424
A1Cresult,0.009717816040614983,0.9695411485746573
change,0.00836646732601548,0.9779076159006728
glyburide,0.004965825433325239,0.982873441333998
glipizide,0.004332164735454028,0.9872056060694521
rosiglitazone,0.0032114536741698176,0.9904170597436219
pioglitazone,0.0029178169265748465,0.9933348766701968
max_glu_serum,0.002603134513685621,0.9959380111838825
glimepiride,0.0023516070086729624,0.9982896181925555
repaglinide,0.0013121244648426186,0.9996017426573981
glyburide-metformin,0.0001770026929839086,0.999778745350382
nateglinide,0.00013939653200810515,0.9999181418823901
acarbose,8.185811760982569e-05,1.0
chlorpropamide,0.0,1.0
acetohexamide,0.0,1.0
metformin-rosiglitazone,0.0,1.0
miglitol,0.0,1.0
metformin-pioglitazone,0.0,1.0
glipizide-metformin,0.0,1.0
glimepiride-pioglitazone,0.0,1.0
tolazamide,0.0,1.0
tolbutamide,0.0,1.0
troglitazone,0.0,1.0
