feature_index,transformed_feature,feature_type
0,numeric__time_in_hospital,numeric
1,numeric__num_lab_procedures,numeric
2,numeric__num_procedures,numeric
3,numeric__num_medications,numeric
4,numeric__number_outpatient,numeric
5,numeric__number_emergency,numeric
6,numeric__number_inpatient,numeric
7,numeric__number_diagnoses,numeric
8,numeric__prior_utilization_total,numeric
9,numeric__log1p_number_outpatient,numeric
10,numeric__log1p_number_emergency,numeric
11,numeric__log1p_number_inpatient,numeric
12,numeric__log1p_prior_utilization_total,numeric
13,categorical__race_AfricanAmerican,categorical
14,categorical__race_Asian,categorical
15,categorical__race_Caucasian,categorical
16,categorical__race_Hispanic,categorical
17,categorical__race_Other,categorical
18,categorical__race_Unknown,categorical
19,categorical__gender_Female,categorical
20,categorical__gender_Male,categorical
21,categorical__gender_Other,categorical
22,categorical__age_[0-10),categorical
23,categorical__age_[10-20),categorical
24,categorical__age_[20-30),categorical
25,categorical__age_[30-40),categorical
26,categorical__age_[40-50),categorical
27,categorical__age_[50-60),categorical
28,categorical__age_[60-70),categorical
29,categorical__age_[70-80),categorical
30,categorical__age_[80-90),categorical
31,categorical__age_[90-100),categorical
32,categorical__payer_code_BC,categorical
33,categorical__payer_code_CM,categorical
34,categorical__payer_code_CP,categorical
35,categorical__payer_code_DM,categorical
36,categorical__payer_code_HM,categorical
37,categorical__payer_code_MC,categorical
38,categorical__payer_code_MD,categorical
39,categorical__payer_code_OG,categorical
40,categorical__payer_code_Other,categorical
41,categorical__payer_code_PO,categorical
42,categorical__payer_code_SP,categorical
43,categorical__payer_code_UN,categorical
44,categorical__payer_code_Unknown,categorical
45,categorical__payer_code_WC,categorical
46,categorical__medical_specialty_Cardiology,categorical
47,categorical__medical_specialty_Emergency/Trauma,categorical
48,categorical__medical_specialty_Family/GeneralPractice,categorical
49,categorical__medical_specialty_Gastroenterology,categorical
50,categorical__medical_specialty_Hematology/Oncology,categorical
51,categorical__medical_specialty_InternalMedicine,categorical
52,categorical__medical_specialty_Nephrology,categorical
53,categorical__medical_specialty_Neurology,categorical
54,categorical__medical_specialty_ObstetricsandGynecology,categorical
55,categorical__medical_specialty_Oncology,categorical
56,categorical__medical_specialty_Orthopedics,categorical
57,categorical__medical_specialty_Orthopedics-Reconstructive,categorical
58,categorical__medical_specialty_Other,categorical
59,categorical__medical_specialty_Pediatrics,categorical
60,categorical__medical_specialty_Pediatrics-Endocrinology,categorical
61,categorical__medical_specialty_PhysicalMedicineandRehabilitation,categorical
62,categorical__medical_specialty_Psychiatry,categorical
63,categorical__medical_specialty_Pulmonology,categorical
64,categorical__medical_specialty_Radiologist,categorical
65,categorical__medical_specialty_Surgery-Cardiovascular/Thoracic,categorical
66,categorical__medical_specialty_Surgery-General,categorical
67,categorical__medical_specialty_Surgery-Neuro,categorical
68,categorical__medical_specialty_Surgery-Vascular,categorical
69,categorical__medical_specialty_Unknown,categorical
70,categorical__medical_specialty_Urology,categorical
71,categorical__max_glu_serum_>200,categorical
72,categorical__max_glu_serum_>300,categorical
73,categorical__max_glu_serum_Norm,categorical
74,categorical__max_glu_serum_Not recorded,categorical
75,categorical__A1Cresult_>7,categorical
76,categorical__A1Cresult_>8,categorical
77,categorical__A1Cresult_Norm,categorical
78,categorical__A1Cresult_Not recorded,categorical
79,categorical__metformin_Down,categorical
80,categorical__metformin_No,categorical
81,categorical__metformin_Steady,categorical
82,categorical__metformin_Up,categorical
83,categorical__repaglinide_No,categorical
84,categorical__repaglinide_Other,categorical
85,categorical__repaglinide_Steady,categorical
86,categorical__nateglinide_No,categorical
87,categorical__nateglinide_Other,categorical
88,categorical__nateglinide_Steady,categorical
89,categorical__chlorpropamide_No,categorical
90,categorical__chlorpropamide_Other,categorical
91,categorical__glimepiride_Down,categorical
92,categorical__glimepiride_No,categorical
93,categorical__glimepiride_Steady,categorical
94,categorical__glimepiride_Up,categorical
95,categorical__acetohexamide_No,categorical
96,categorical__glipizide_Down,categorical
97,categorical__glipizide_No,categorical
98,categorical__glipizide_Steady,categorical
99,categorical__glipizide_Up,categorical
100,categorical__glyburide_Down,categorical
101,categorical__glyburide_No,categorical
102,categorical__glyburide_Steady,categorical
103,categorical__glyburide_Up,categorical
104,categorical__tolbutamide_No,categorical
105,categorical__tolbutamide_Other,categorical
106,categorical__pioglitazone_No,categorical
107,categorical__pioglitazone_Other,categorical
108,categorical__pioglitazone_Steady,categorical
109,categorical__pioglitazone_Up,categorical
110,categorical__rosiglitazone_No,categorical
111,categorical__rosiglitazone_Other,categorical
112,categorical__rosiglitazone_Steady,categorical
113,categorical__rosiglitazone_Up,categorical
114,categorical__acarbose_No,categorical
115,categorical__acarbose_Other,categorical
116,categorical__acarbose_Steady,categorical
117,categorical__miglitol_No,categorical
118,categorical__miglitol_Other,categorical
119,categorical__troglitazone_No,categorical
120,categorical__troglitazone_Other,categorical
121,categorical__tolazamide_No,categorical
122,categorical__tolazamide_Other,categorical
123,categorical__insulin_Down,categorical
124,categorical__insulin_No,categorical
125,categorical__insulin_Steady,categorical
126,categorical__insulin_Up,categorical
127,categorical__glyburide-metformin_No,categorical
128,categorical__glyburide-metformin_Other,categorical
129,categorical__glyburide-metformin_Steady,categorical
130,categorical__glipizide-metformin_No,categorical
131,categorical__glipizide-metformin_Other,categorical
132,categorical__glimepiride-pioglitazone_No,categorical
133,categorical__glimepiride-pioglitazone_Other,categorical
134,categorical__metformin-rosiglitazone_No,categorical
135,categorical__metformin-rosiglitazone_Other,categorical
136,categorical__metformin-pioglitazone_No,categorical
137,categorical__change_Ch,categorical
138,categorical__change_No,categorical
139,categorical__diabetesMed_No,categorical
140,categorical__diabetesMed_Yes,categorical
141,categorical__admission_type_description_Elective,categorical
142,categorical__admission_type_description_Emergency,categorical
143,categorical__admission_type_description_Not Available,categorical
144,categorical__admission_type_description_Not Mapped,categorical
145,categorical__admission_type_description_Other,categorical
146,categorical__admission_type_description_Unknown,categorical
147,categorical__admission_type_description_Urgent,categorical
148,categorical__admission_source_description_Clinic Referral,categorical
